#separator:tab
#html:true
#columns:Front	Back	Tags
<div>Some team members get a CLAUDE.md guideline applied; new joiners don&#x27;t. All on the same repo with the latest pull. Why?</div>	<ul><li><b>Answer</b>: The original devs put the guideline in their <b>user-level</b> <code>~/.claude/CLAUDE.md</code>. New teammates don&#x27;t have it. <b>Fix</b>: move it to <b>project-level</b> <code>.claude/CLAUDE.md</code>.</li><li><b>Hierarchy</b>: user (<code>~/.claude/CLAUDE.md</code>) → project (<code>.claude/CLAUDE.md</code> or root <code>CLAUDE.md</code>) → directory (<code>&lt;subdir&gt;/CLAUDE.md</code>).</li><li><b>🚨 Trap to recognize as FALSE</b>: any option that says <i>&quot;Claude Code builds per-user preference models over time&quot;</i> or <i>&quot;Claude caches CLAUDE.md across sessions.&quot;</i> Both are flatly wrong. Claude Code reads CLAUDE.md fresh each session. No implicit learning, no cross-session cache.</li></ul>	CCA::Traps::CLAUDE_md_hierarchy_the_false_option_tra
<div>Code review averages 15 findings/PR. 40% false positives. Devs must click each finding to read Claude&#x27;s reasoning. <b>Stakeholders have rejected any approach that filters findings before developer review.</b> What addresses the investigation-time bottleneck?</div>	<ul><li><b>Answer</b>: <b>Require Claude to include its reasoning and confidence inline with each finding.</b> Now devs can evaluate without clicking.</li><li><b>Why</b>: The constraint <i>eliminates every filtering option</i>. The only allowed move is to surface more info per finding.</li><li><b>🚨 Trap</b>: Any option that filters, suppresses, categorizes by priority, or post-processes. Categorization (&quot;blocking&quot; vs &quot;suggestion&quot;) IS filtering by importance. Pattern-based suppression IS filtering.</li><li><b>Meta-lesson</b>: <b>Read the constraints twice.</b> If the prompt says &quot;stakeholders have rejected X,&quot; eliminate every option that does X.</li></ul>	CCA::Traps::Investigation_time_bottleneck_stakeholde
<div>Agent handles single-concern requests at 94% accuracy. Multi-concern requests (e.g., &quot;refund order #1234 AND update shipping for #5678&quot;) drop to 58%. Fix?</div>	<ul><li><b>Answer</b>: <b>Add few-shot examples</b> demonstrating correct reasoning and tool sequencing for multi-concern requests.</li><li><b>Why</b>: The agent already handles each concern well (94%). It just needs <i>patterns</i> for how to decompose+sequence multiple. Low-cost, root-cause fix.</li><li><b>🚨 Trap</b>: Building a preprocessing layer with a separate model call to decompose. Over-engineered; adds latency and cost to address something prompt-level can fix.</li><li><b>Mental rule</b>: When component skill is high but composition skill is low → teach the composition with worked examples.</li></ul>	CCA::Traps::Multi_concern_requests_few_shot_not_prep
<div>Agent sometimes picks <code>get_customer</code> for ambiguous requests like &quot;I need help with my recent purchase&quot; when <code>lookup_order</code> is appropriate. You decide to add few-shot examples. Which approach works best?</div>	<ul><li><b>Answer</b>: <b>4-6 examples targeting the ambiguous scenarios, each showing reasoning for why one tool was chosen over plausible alternatives.</b></li><li><b>Why</b>: For nuanced <b>edge-case decisions</b>, worked examples that show <i>comparative reasoning</i> teach the model the decision process. Declarative rules can&#x27;t capture the gradient between &quot;this case → tool A&quot; and &quot;almost-the-same case → tool B.&quot;</li><li><b>🚨 Trap</b>: Adding explicit &quot;use when X&quot; / &quot;do not use when Y&quot; guidelines in tool descriptions. Static declarative rules are weaker than worked examples for nuanced judgment.</li><li><b>Mental rule</b>: <b>Edge-case judgment → few-shot with reasoning. Consistent classification → explicit criteria. Format consistency → few-shot of the format.</b></li></ul>	CCA::Traps::Targeted_few_shot_vs_declarative_rules
<div>Synthesis agent needs to verify claims while combining findings. 85% are simple fact-checks (dates, names, stats); 15% require deeper investigation. Currently it round-trips through coordinator → web search agent for every verification. Latency +40%. Fix?</div>	<ul><li><b>Answer</b>: <b>Give the synthesis agent a scoped <code>verify_fact</code> tool for the 85% simple lookups.</b> Route the 15% complex cases through coordinator → web search agent as today.</li><li><b>Why</b>: Least privilege + the 80/20 rule. The common case stays in-process; the rare case keeps the safer coordination path.</li><li><b>🚨 Trap</b>: Having synthesis &quot;batch all verification needs and return them to coordinator at end of pass.&quot; Creates blocking dependencies — later synthesis steps depend on facts that needed verification earlier.</li><li><b>🚨 Trap #2</b>: Giving synthesis full access to web search tools (over-provisioning, violates separation of concerns).</li></ul>	CCA::Traps::Scoped_cross_role_tools_the_80_20_rule_f
<div>Agent averages 4+ API round-trips per resolution. Logs show Claude executes <code>get_customer</code> and <code>lookup_order</code> in <i>separate sequential turns</i> even when both are clearly needed upfront. Fix?</div>	<ul><li><b>Answer</b>: <b>Prompt Claude to batch tool requests per turn</b> and return all tool results together before the next API call. Use Claude&#x27;s native ability to emit multiple <code>tool_use</code> blocks in one response.</li><li><b>Why</b>: Claude can already make parallel tool calls — the agent loop just needs prompting to do so. Minimal architectural change.</li><li><b>🚨 Trap</b>: Creating composite tools like <code>get_customer_with_orders</code>. Adds maintenance burden — you&#x27;ll need a composite for every common combination.</li><li><b>🚨 Trap #2</b>: Speculative execution that auto-calls likely-needed tools. Wastes API calls on unneeded ones; introduces irrelevant results.</li></ul>	CCA::Traps::Parallel_tool_execution_batch_per_turn_n
<div>Current prompt: &quot;check that comments are accurate and up-to-date.&quot; Findings frequently flag acceptable patterns (TODO markers, simple descriptions) AND miss comments that describe behavior the code no longer implements. Fix?</div>	<ul><li><b>Answer</b>: <b>Specify explicit criteria</b> — &quot;flag comments only when their <i>claimed behavior contradicts actual code behavior</i>.&quot;</li><li><b>Why</b>: The instruction is vague, producing <i>both false positives AND false negatives</i>. The fix is a <b>precise definition of what counts as a problem.</b> Few-shot doesn&#x27;t generalize to novel contradiction patterns; pattern-based filtering only addresses false positives, not false negatives.</li><li><b>🚨 Trap</b>: Adding few-shot examples of misleading comments. Pattern-matches existing examples but fails on novel contradictions.</li><li><b>🚨 Trap #2</b>: Filtering out TODO/FIXME patterns. Solves false positives only; misses the false-negative problem entirely.</li><li><b>Mental rule</b>: <b>Both false-positive AND false-negative problems → explicit criteria. False-positive only → few-shot or filtering.</b></li></ul>	CCA::Traps::Explicit_criteria_vs_few_shot_for_vague_
<div>Including 2-3 full exemplar endpoint implementations as context improves consistency when generating NEW API endpoints. But this context is only useful for <i>creating new endpoints</i> — not for bug fixes, code reviews, or other API directory work. Most efficient configuration?</div>	<ul><li><b>Answer</b>: <b>Create a skill</b> that references the exemplar endpoints with pattern-following instructions, invoked on-demand via slash command (e.g., <code>/new-endpoint</code>).</li><li><b>Why</b>: Skills load <b>only when explicitly invoked</b>. Context is consumed only when actually needed.</li><li><b>🚨 Trap</b>: Path-specific rules in <code>.claude/rules/api/</code> with glob patterns. These trigger for <i>every</i> operation on API files — bug fixes, code reviews, refactors — wasting context on tasks where exemplars are irrelevant.</li><li><b>Mental rule</b>: <b>Glob-pattern rules = &quot;always apply when editing matching files.&quot; Skills = &quot;apply on-demand for specific workflows.&quot; Pick skills when context is task-specific, not file-specific.</b></li></ul>	CCA::Traps::Skills_vs_path_specific_rules_for_exempl
<div>Your reviews identify valid issues but feedback isn&#x27;t actionable. You add &quot;always include specific fix suggestions&quot; but output is still sometimes detailed, sometimes vague. You&#x27;ve refined the prose instructions 3 times. Now what?</div>	<ul><li><b>Answer</b>: <b>Add 3-4 few-shot examples</b> showing the exact format you want: issue identified, code location, specific fix suggestion.</li><li><b>Why</b>: When prose has failed 3+ times, <b>switch modality</b>. Concrete examples constrain output shape directly. Rewording prose tends to produce <i>different</i> misinterpretations, not fewer.</li><li><b>🚨 Trap</b>: Refining the prose instructions even more explicitly (more requirements per field). Same failing approach.</li><li><b>Mental rule</b>: <b>3+ prose iterations failed → switch to examples.</b> Don&#x27;t keep polishing the same modality.</li></ul>	CCA::Traps::Format_consistency_few_shot_beats_refine
<div>The model is producing inconsistent output. What technique do I reach for?</div>	<pre>Is the issue VAGUE INSTRUCTION → false positives AND false negatives?    → EXPLICIT CRITERIA (precise definition)      [Card 7: comment review]  Is the issue AMBIGUOUS EDGE-CASE DECISION (which tool? which path?)?    → 4-6 FEW-SHOT EXAMPLES WITH REASONING      [Card 4: tool selection edge cases]  Is the issue FORMAT INCONSISTENCY (prose → output mismatch)?    → 3-4 FEW-SHOT EXAMPLES OF THE EXACT FORMAT      [Card 9: actionable feedback format]  Is the issue COMPOSITION FAILURE (each sub-task works, combo fails)?    → FEW-SHOT FOR THE COMPOSITION PATTERN      [Card 3: multi-concern requests]  Is the issue OUTPUT QUALITY VARIES BY CASE TYPE    (general technique but inconsistent depth across cases)?    → SELF-CRITIQUE (evaluator-optimizer pattern)  Is the issue PROSE → TRANSFORMATION MISMATCH (3 iterations diverged)?    → 2-3 CONCRETE INPUT/OUTPUT EXAMPLES      NOT: JSON schema (validates shape, not semantics)      NOT: more precise prose</pre>	CCA::Traps::Bonus_card_Decision_tree_for_which_promp
